id,mass,length
0,12.0107,0
1,12.0107,0
2,12.0107,0
3,14.00674,0
4,12.0107,0
5,12.0107,0
6,12.0107,0
7,12.0107,0
8,12.0107,0
9,12.0107,0
10,12.0107,0
11,12.0107,0
12,12.0107,0
13,12.0107,0
14,12.0107,0
15,12.0107,0
16,12.0107,0
17,12.0107,0
18,12.0107,0
19,12.0107,0
20,12.0107,0
21,12.0107,0
22,14.00674,0
23,14.00674,0
24,14.00674,0
25,12.0107,0
26,12.0107,0
27,12.0107,0
28,12.0107,0
29,12.0107,0
30,1.00794,0
31,1.00794,0
32,1.00794,0
33,1.00794,0
34,1.00794,0
35,1.00794,0
36,1.00794,0
37,1.00794,0
38,1.00794,0
39,1.00794,0
40,1.00794,0
41,1.00794,0
42,1.00794,0
43,1.00794,0
44,1.00794,0
45,1.00794,0
46,1.00794,0
47,1.00794,0
48,1.00794,0
49,1.00794,0
50,1.00794,0
51,1.00794,0
52,1.00794,0
53,1.00794,0
54,0,1.38242603057089
55,0,1.38705172938863
56,0,1.38451050555783
57,0,1.3659891873657
58,0,1.36983529666891
59,0,1.10852692795439
60,0,1.40914611378664
61,0,1.40472932979987
62,0,1.3718896930876
63,0,1.40940798209745
64,0,1.37617515236978
65,0,1.39495245797124
66,0,1.37979712276842
67,0,1.37810749217904
68,0,1.3937846820797
69,0,1.44611355363263
70,0,1.48603329034043
71,0,1.40192670635808
72,0,1.3879866497917
73,0,1.38034853931896
74,0,1.43124808820833
75,0,1.48658703411539
76,0,1.39446524158905
77,0,1.40636293324305
78,0,1.28675379540921
79,0,1.27967456019099
80,0,1.38234262395399
81,0,1.35449790697513
82,0,1.45805641523228
83,0,1.38989492408599
84,0,1.48356049421653
85,0,1.38571882068477
86,0,0.927754897588797
87,0,0.99501741693299
88,0,0.948395091720744
89,0,0.959555006239872
90,0,0.961048916548997
91,0,0.96034003873628
92,0,1.00066688763044
93,0,0.979224448224205
94,0,0.938083040034304
95,0,0.986103108199138
96,0,0.959014775694306
97,0,0.9594970401205
98,0,0.960607130933349
99,0,0.982871644722748
100,0,0.960080590367287
101,0,0.930114025267872
102,0,0.977199472983894
103,0,0.91721328490161
104,0,0.923729538339009
105,0,0.979082453116182
106,0,0.974902236124217
107,0,0.959441467730054
108,0,0.960169448587071
109,0,0.959066092613015
