id,mass,length
0,12.0107,0
1,12.0107,0
2,12.0107,0
3,12.0107,0
4,15.9994,0
5,1.00794,0
6,1.00794,0
7,1.00794,0
8,1.00794,0
9,1.00794,0
10,1.00794,0
11,1.00794,0
12,1.00794,0
13,1.00794,0
14,1.00794,0
15,0,1.42600922858164
16,0,1.37826990099907
17,0,1.57486391475581
18,0,1.54887550500355
19,0,0.970041777450848
20,0,0.970665720008696
21,0,0.980426692823079
22,0,0.960939149998583
23,0,0.959010474395354
24,0,0.959632070118543
25,0,0.820246853087532
26,0,0.960702909332537
27,0,0.959174363710791
28,0,0.959934794660554
