id,mass,length
0,12.0107,0
1,12.0107,0
2,12.0107,0
3,12.0107,0
4,12.0107,0
5,12.0107,0
6,12.0107,0
7,12.0107,0
8,12.0107,0
9,12.0107,0
10,12.0107,0
11,12.0107,0
12,12.0107,0
13,12.0107,0
14,14.00674,0
15,14.00674,0
16,12.0107,0
17,12.0107,0
18,12.0107,0
19,12.0107,0
20,12.0107,0
21,12.0107,0
22,12.0107,0
23,12.0107,0
24,12.0107,0
25,12.0107,0
26,12.0107,0
27,12.0107,0
28,12.0107,0
29,12.0107,0
30,12.0107,0
31,12.0107,0
32,12.0107,0
33,12.0107,0
34,12.0107,0
35,12.0107,0
36,12.0107,0
37,12.0107,0
38,12.0107,0
39,12.0107,0
40,12.0107,0
41,12.0107,0
42,12.0107,0
43,12.0107,0
44,12.0107,0
45,12.0107,0
46,12.0107,0
47,12.0107,0
48,12.0107,0
49,12.0107,0
50,12.0107,0
51,12.0107,0
52,12.0107,0
53,12.0107,0
54,12.0107,0
55,12.0107,0
56,12.0107,0
57,12.0107,0
58,12.0107,0
59,12.0107,0
60,12.0107,0
61,12.0107,0
62,12.0107,0
63,12.0107,0
64,12.0107,0
65,12.0107,0
66,12.0107,0
67,12.0107,0
68,12.0107,0
69,12.0107,0
70,12.0107,0
71,12.0107,0
72,12.0107,0
73,12.0107,0
74,12.0107,0
75,12.0107,0
76,12.0107,0
77,12.0107,0
78,12.0107,0
79,12.0107,0
80,12.0107,0
81,12.0107,0
82,12.0107,0
83,12.0107,0
84,12.0107,0
85,65.39,0
86,12.0107,0
87,12.0107,0
88,12.0107,0
89,12.0107,0
90,12.0107,0
91,14.00674,0
92,14.00674,0
93,14.00674,0
94,12.0107,0
95,12.0107,0
96,12.0107,0
97,12.0107,0
98,12.0107,0
99,12.0107,0
100,12.0107,0
101,12.0107,0
102,12.0107,0
103,12.0107,0
104,12.0107,0
105,12.0107,0
106,12.0107,0
107,12.0107,0
108,12.0107,0
109,12.0107,0
110,12.0107,0
111,12.0107,0
112,12.0107,0
113,12.0107,0
114,12.0107,0
115,12.0107,0
116,12.0107,0
117,1.00794,0
118,1.00794,0
119,1.00794,0
120,1.00794,0
121,1.00794,0
122,1.00794,0
123,1.00794,0
124,1.00794,0
125,1.00794,0
126,1.00794,0
127,1.00794,0
128,1.00794,0
129,1.00794,0
130,1.00794,0
131,1.00794,0
132,1.00794,0
133,1.00794,0
134,1.00794,0
135,1.00794,0
136,1.00794,0
137,1.00794,0
138,1.00794,0
139,1.00794,0
140,1.00794,0
141,1.00794,0
142,1.00794,0
143,1.00794,0
144,1.00794,0
145,1.00794,0
146,1.00794,0
147,1.00794,0
148,1.00794,0
149,1.00794,0
150,1.00794,0
151,1.00794,0
152,1.00794,0
153,1.00794,0
154,1.00794,0
155,1.00794,0
156,1.00794,0
157,1.00794,0
158,1.00794,0
159,1.00794,0
160,1.00794,0
161,1.00794,0
162,1.00794,0
163,1.00794,0
164,1.00794,0
165,1.00794,0
166,1.00794,0
167,1.00794,0
168,0,1.45654955974728
169,0,1.3614831838844
170,0,1.38943796191122
171,0,1.40047602621394
172,0,1.40870782634299
173,0,1.3740814713837
174,0,1.37757044828931
175,0,1.50139528772405
176,0,1.40489750159932
177,0,1.49697418147408
178,0,1.33785768301415
179,0,1.5728806470931
180,0,1.36805118325303
181,0,1.41228638384713
182,0,1.37326633250801
183,0,1.37180562398614
184,0,1.38625050045077
185,0,1.38935854263757
186,0,1.51847837324079
187,0,1.37818877516834
188,0,1.39775739311227
189,0,1.38051817083297
190,0,1.38817960293328
191,0,1.38040318023395
192,0,1.50613428684165
193,0,1.52240653571902
194,0,1.51304977115758
195,0,1.59871956265006
196,0,1.53128346494044
197,0,1.37144451582993
198,0,1.39603543651298
199,0,1.48504352461468
200,0,1.45428985075191
201,0,1.38585198343835
202,0,1.39774853961648
203,0,1.54679149532185
204,0,1.44603101280712
205,0,1.37535277656316
206,0,1.49389357385324
207,0,1.44923447378262
208,0,1.49097992944238
209,0,1.3978740501204
210,0,1.40193340070062
211,0,1.58967162017821
212,0,1.39100851902496
213,0,1.37436894609854
214,0,1.44087788517973
215,0,1.50479321502989
216,0,1.58249983886255
217,0,1.53623536282693
218,0,1.52527641101539
219,0,1.54311735457806
220,0,1.53832508267921
221,0,1.36760048259717
222,0,1.44493427532189
223,0,1.47780846526199
224,0,1.44457225156792
225,0,1.37079398889841
226,0,1.43848583587048
227,0,1.44299631669662
228,0,1.44041780744338
229,0,1.39239017879329
230,0,1.44337418918311
231,0,1.38176850810836
232,0,1.37345669389319
233,0,1.47801878540159
234,0,1.44521999363419
235,0,1.35397327521632
236,0,1.44865818604666
237,0,1.4399430613743
238,0,1.44317227315383
239,0,1.39684296182499
240,0,1.37918055743257
241,0,1.44642517608067
242,0,1.45745957748405
243,0,1.37627350842774
244,0,1.43932919445136
245,0,1.44012262672316
246,0,1.44521622257709
247,0,1.41001898568778
248,0,1.39538014175349
249,0,1.43510759178537
250,0,1.47263908001927
251,0,1.44798697853261
252,0,1.44485973367659
253,0,1.44201247567419
254,0,1.38288925803912
255,0,1.43752429544686
256,0,1.39420059532336
257,0,1.44176642005562
258,0,1.45140271461783
259,0,1.44024144503621
260,0,1.38358985974891
261,0,1.39906198933428
262,0,1.43305329279828
263,0,1.45796840157803
264,0,1.45956395543327
265,0,1.38064490003766
266,0,1.46600974416953
267,0,1.45111575348075
268,0,1.45313065138686
269,0,1.38797743497508
270,0,1.38634956991374
271,0,1.4413658557077
272,0,1.43834157973689
273,0,1.47223377899028
274,0,1.37720930144986
275,0,1.39333630183097
276,0,1.45185238230338
277,0,1.45325860740613
278,0,1.44719675234572
279,0,1.38581133275782
280,0,1.44365784034861
281,0,1.44223953974366
282,0,1.37925201468042
283,0,1.44408415959736
284,0,1.43157799647801
285,0,1.44902629375729
286,0,1.44533024945858
287,0,1.39483510853434
288,0,1.44043700313481
289,0,1.39181874538318
290,0,1.39111153399
291,0,1.4659941712026
292,0,1.38511730189179
293,0,1.53831293955424
294,0,1.44162112567762
295,0,1.45323489154369
296,0,1.37719638759329
297,0,1.44667181143478
298,0,1.36977101005971
299,0,1.36298811807
300,0,1.38931040088239
301,0,1.3068653411886
302,0,1.32916194272933
303,0,1.4511019846999
304,0,1.35949753585654
305,0,1.48710797523246
306,0,1.45676890068398
307,0,1.50195027214618
308,0,1.38933834971903
309,0,1.38236168928396
310,0,1.44753543307237
311,0,1.45649945417086
312,0,1.36212184844088
