id,mass,length
0,12.0107,0
1,12.0107,0
2,12.0107,0
3,15.9994,0
4,15.9994,0
5,15.9994,0
6,15.9994,0
7,15.9994,0
8,15.9994,0
9,87.62,0
10,15.9994,0
11,12.0107,0
12,12.0107,0
13,12.0107,0
14,2,0
15,2,0
16,15.9994,0
17,15.9994,0
18,15.9994,0
19,15.9994,0
20,15.9994,0
21,15.9994,0
22,87.62,0
23,2,0
24,2,0
25,2,0
26,2,0
27,15.9994,0
28,0,1.55995217234375
29,0,1.25358772728517
30,0,1.2372986583683
31,0,1.24887891326581
32,0,1.29586096090591
33,0,1.52561286045969
34,0,1.32602965653111
35,0,1.22730644095108
36,0,1.04394542481875
37,0,0.992168161150115
38,0,1.00506408750885
39,0,1.55995217234375
40,0,1.25358772728517
41,0,1.2372986583683
42,0,1.24887891326581
43,0,1.29586096090591
44,0,1.32602965653111
45,0,1.22730644095108
46,0,1.04394542481875
47,0,0.992168161150115
48,0,1.00506408750885
49,0,2.65718319654479
50,0,2.73773757142645
51,0,2.62169626196476
52,0,2.65718319654479
53,0,2.73773757142645
54,0,2.62169626196476
