id,mass,length
0,12.0107,0
1,12.0107,0
2,12.0107,0
3,12.0107,0
4,12.0107,0
5,12.0107,0
6,12.0107,0
7,12.0107,0
8,15.9994,0
9,15.9994,0
10,15.9994,0
11,15.9994,0
12,15.9994,0
13,79.904,0
14,79.904,0
15,79.904,0
16,79.904,0
17,79.904,0
18,79.904,0
19,79.904,0
20,79.904,0
21,79.904,0
22,12.0107,0
23,12.0107,0
24,12.0107,0
25,12.0107,0
26,12.0107,0
27,12.0107,0
28,12.0107,0
29,12.0107,0
30,12.0107,0
31,12.0107,0
32,12.0107,0
33,12.0107,0
34,12.0107,0
35,12.0107,0
36,12.0107,0
37,12.0107,0
38,12.0107,0
39,12.0107,0
40,12.0107,0
41,12.0107,0
42,12.0107,0
43,12.0107,0
44,12.0107,0
45,12.0107,0
46,12.0107,0
47,12.0107,0
48,12.0107,0
49,12.0107,0
50,12.0107,0
51,12.0107,0
52,12.0107,0
53,12.0107,0
54,12.0107,0
55,12.0107,0
56,12.0107,0
57,12.0107,0
58,12.0107,0
59,12.0107,0
60,12.0107,0
61,12.0107,0
62,12.0107,0
63,12.0107,0
64,12.0107,0
65,12.0107,0
66,12.0107,0
67,12.0107,0
68,12.0107,0
69,12.0107,0
70,12.0107,0
71,12.0107,0
72,12.0107,0
73,12.0107,0
74,12.0107,0
75,12.0107,0
76,15.9994,0
77,15.9994,0
78,15.9994,0
79,15.9994,0
80,12.0107,0
81,12.0107,0
82,12.0107,0
83,12.0107,0
84,12.0107,0
85,12.0107,0
86,12.0107,0
87,12.0107,0
88,12.0107,0
89,12.0107,0
90,12.0107,0
91,12.0107,0
92,12.0107,0
93,12.0107,0
94,12.0107,0
95,12.0107,0
96,12.0107,0
97,12.0107,0
98,12.0107,0
99,12.0107,0
100,12.0107,0
101,12.0107,0
102,12.0107,0
103,12.0107,0
104,12.0107,0
105,12.0107,0
106,12.0107,0
107,12.0107,0
108,12.0107,0
109,12.0107,0
110,12.0107,0
111,12.0107,0
112,12.0107,0
113,12.0107,0
114,12.0107,0
115,12.0107,0
116,12.0107,0
117,0,1.57530828094059
118,0,1.52889864935515
119,0,1.41517279863627
120,0,1.49890297551242
121,0,1.42669263333067
122,0,1.60411314438851
123,0,1.56883198909252
124,0,1.5170464033773
125,0,1.42016966239953
126,0,1.44441209147528
127,0,1.47282371314424
128,0,1.48762889861685
129,0,1.64366993645318
130,0,1.63222182928669
131,0,1.55050135762598
132,0,1.43223201332745
133,0,1.4636571798068
134,0,1.52436259138041
135,0,1.46784855826478
136,0,1.27673458479043
137,0,1.35717503661097
138,0,2.02197815270096
139,0,2.01681373954066
140,0,1.99487849504675
141,0,1.99768888969229
142,0,2.08401874751644
143,0,2.04225111580334
144,0,1.55498106740886
145,0,2.08758377795958
146,0,1.99404630337412
147,0,1.67560490271424
148,0,1.46278161391234
149,0,1.42087821082597
150,0,1.62965143819162
151,0,1.57764123298043
152,0,1.66907316196744
153,0,1.57803637473919
154,0,1.54801887585391
155,0,1.58572515272982
156,0,1.5616760163363
157,0,1.48711079950352
158,0,1.45549325316196
159,0,1.50749668656352
160,0,1.42782603282053
161,0,1.48638637305379
162,0,1.50860779860108
163,0,1.55586465349657
164,0,1.59817927342335
165,0,1.69803871863983
166,0,1.70929836482693
167,0,1.55551522654071
168,0,1.49661346044996
169,0,1.53640018549856
170,0,1.58688190171796
171,0,1.49153628852938
172,0,1.43981135917175
173,0,1.41242845128523
174,0,1.56254876723896
175,0,1.62591791305711
176,0,1.59017074240473
177,0,1.49111526046782
178,0,1.63944938317717
179,0,1.60555797777595
180,0,1.55232664088458
181,0,1.60469911509915
182,0,1.57746969859963
183,0,1.64120668411995
184,0,1.46168894433802
185,0,1.61058110630915
186,0,1.42148836435618
187,0,1.62582839807896
188,0,1.49140637989785
189,0,1.5808405011259
190,0,1.34467901002433
191,0,1.4108016869851
192,0,1.36740316658987
193,0,1.42636588924441
194,0,1.65119660246743
195,0,1.62041754495562
196,0,1.66337254997189
197,0,1.68904885068491
198,0,1.54239908259828
199,0,1.41218722908827
200,0,1.4114059763229
201,0,1.35780579244603
202,0,1.60390683644656
203,0,1.45666391799893
204,0,1.55260365837518
205,0,1.64193347307374
206,0,1.43950573809207
207,0,1.53812831064252
208,0,1.55990161869267
209,0,1.56349531818934
210,0,1.49651420975546
211,0,1.40000009642857
212,0,1.45640808154858
213,0,1.54897019015861
214,0,1.39813713562011
215,0,1.68854594844203
216,0,1.54457847324116
217,0,1.45964988610283
218,0,1.54447041085286
219,0,1.62865073296886
